0,arthur-sampson,15404,1608.14,523,2023-11-18,1
1,christine-green,3112,1465.57,792,2024-03-02,4
2,mrs.-christine-green-dds,14077,300.4,835,2024-06-23,2
3,rachel-carrillo,15010,1749.12,432,2023-09-03,7
4,anthony-smith,3994,568.15,351,2023-03-27,16
5,jason-richards,15951,296.61,312,2024-07-14,12
6,laura-shelton,10863,1486.91,387,2022-10-09,16
7,samuel-reynolds,2958,1354.59,327,2024-07-20,12
8,taylor-hill,6159,1459.52,862,2024-08-11,9
9,amy-walter,15704,1088.45,636,2024-01-21,3
10,chad-jones,12297,289.74,368,2022-10-16,10
11,alexander-bell,11347,1069.55,203,2024-04-08,15
12,jill-johnson,16001,1049.22,473,2024-05-10,12
13,ann-pennington,2041,1204.02,336,2022-11-09,18
14,michael-gray,7942,1869.18,775,2022-09-21,14
15,audrey-peterson,9499,1493.55,233,2023-07-25,14
16,john-jacobs,10359,959.66,496,2023-04-30,8
17,zachary-rivera,11003,1562.87,1151,2023-10-23,12
18,carol-adams,2131,1382.8,198,2023-12-22,19
19,evan-perez,6197,1561.66,337,2022-11-24,2
20,kelly-wilson,4295,1651.54,286,2023-12-08,11
21,sierra-mathews,4433,243.82,911,2024-03-31,19
22,theresa-kelly,1720,1000.78,714,2024-04-26,12
23,jennifer-schneider,292,669.5,576,2024-03-01,12
24,kelly-martin,11611,1131.48,1082,2022-09-12,11
25,rebecca-thomas,4546,1636.31,589,2023-05-04,1
26,michael-williams,7666,1944.1,968,2022-10-22,15
27,jordan-nixon,6214,337.65,671,2024-08-31,8
28,jenny-short,5689,1977.67,1224,2023-01-08,4
29,danny-hinton,759,809.14,279,2024-03-28,19
30,richard-harmon,8463,1625.7,507,2023-05-10,17
31,dakota-williams,14961,1867.05,833,2024-08-06,20
32,allison-small,15247,123.04,968,2023-04-08,3
33,james-foster,12503,1879.68,541,2024-02-08,20
34,leah-jenkins,1278,1521.35,749,2022-10-17,17
35,eric-ferguson,7676,1883.25,1206,2024-03-15,4
36,william-villa,10279,963.62,475,2022-11-28,15
37,ms.-lisa-lopez-dds,1874,358.02,722,2023-11-29,16
38,lisa-johnson,1399,700.73,932,2023-12-05,15
39,anthony-patel,10130,62.25,833,2024-04-30,5
40,brandy-hahn,179,892.75,992,2024-04-28,10
41,jaclyn-baldwin,4275,371.47,1163,2023-12-03,4
42,philip-freeman,16041,1208.17,1102,2023-09-11,14
43,ryan-barnett,12047,1707.01,1187,2023-02-06,8
44,wayne-jackson,12541,1484.0,1096,2024-03-19,12
45,sandra-bridges,5438,459.15,470,2023-10-01,14
46,jennifer-powers,726,938.43,570,2023-06-18,6
47,louis-barber,9709,1734.95,366,2022-11-08,10
48,rachel-quinn,11193,1549.73,741,2024-07-31,1
49,jonathan-elliott,12258,618.63,1100,2023-01-09,15
50,christopher-hendricks-md,4999,1925.04,1104,2023-10-23,6
51,lee-harvey,154,328.88,209,2022-09-13,9
52,zachary-stark,15185,1709.56,1141,2024-06-04,18
53,ashley-walker,8296,1503.73,913,2023-07-16,18
54,michael-moore,7092,573.47,862,2023-08-11,17
55,bill-rose,11519,299.21,367,2023-03-05,11
56,david-wallace,10399,1491.21,229,2024-07-07,11
57,angel-browning,2715,1381.18,557,2024-05-15,7
58,kyle-house,15224,1785.05,1204,2024-07-18,19
59,christopher-green,11223,470.06,743,2023-04-08,18
60,joshua-arias,5762,190.84,241,2023-08-10,10
61,timothy-robinson,16116,305.41,309,2023-02-13,18
62,matthew-ayers,9125,817.83,907,2023-07-09,10
63,sabrina-lee,13433,768.84,453,2023-02-03,1
64,justin-evans,4265,1657.42,840,2023-05-20,5
65,kimberly-torres,7762,1089.97,200,2022-09-18,3
66,alexandra-mullen,4955,1642.68,910,2024-05-20,5
67,kelly-white,11725,53.5,964,2023-02-12,5
68,robin-diaz,9722,855.65,996,2023-04-07,6
69,frank-casey,8966,53.77,657,2023-09-03,5
70,edward-rodgers,11683,133.15,391,2024-02-07,15
71,jade-rich,12211,235.56,1210,2023-02-19,12
72,kenneth-maynard,1621,912.02,328,2023-04-18,20
73,christopher-waller,16393,936.28,1016,2023-09-07,20
74,larry-haney,7670,648.69,404,2023-06-12,7
75,jenna-elliott,11248,1008.02,1160,2022-10-31,20
76,kelly-gallagher,7464,680.02,801,2023-11-21,15
77,angela-stone,15093,1343.15,195,2024-01-17,18
78,gregory-mays,13885,62.95,334,2024-01-02,19
79,annette-frazier,11171,1640.04,296,2023-01-26,1
80,teresa-mcgee,8249,1967.29,959,2023-04-05,2
81,jenny-stark,6886,177.18,824,2023-10-23,19
